SKU,Product,Original Price,Discounted Price
SUPSTV001,"Suport Perete TV/LCD/LED/PLASMA, Fix, Extra Subtire, 23""-42"", Superior Electronics SUPSTV001",27.99,25.0
A-HDMI-VGA-04,"Cablu adaptor de la HDMI Tata la VGA Mama, A-HDMI-VGA-04",27.99,26.0
RB-1108,SET 6 SURUBELNITE CROM-VANADIU VARF MAGNETIC,27.99,26.0
NAR0051,Cleste sertizat mufe retea RJ 45 si RJ 12,27.99,26.0
SPAR-USBQ-01,"Incarcator retea 5V 3A, SPACER Quick Charge 3.0 18W, SPAR-USBQ-01",28.99,26.8
K1x100,"Conector rapid cu gel, set 100 bucati",28.99,25.99
K1x100,"Conector rapid cu gel, set 100 bucati",28.99,25.99
PFA134,"Doza rotunda aluminiu Dahua rezistenta la apa, PFA134",28.99,25.0
PFA135,"Doza de conexiuni rotunda, rezistenta la apa IP66, DAHUA, PFA135",28.99,25.0
SAF-PFA134,"Doza rotunda din aluminiu, rezistenta la apa, Safer, SAF-PFA134",28.99,25.99
SKU-11178,"Fasete de prindere, plastic, 7.6 mm x 300 mm, negre, 100 bucati, V-TAC, SKU-11178",29.99,28.0
ORGAN-CAPAC,"Organizator cu capac pentru rack 19 inch, 1U, ORGAN-CAPAC",29.99,24.0
A-HDMI-VGA-03,Cablu adaptor de la HDMI Tata la VGA Mama + Jack Audio 3.5 mm,29.99,26.9
ST10,Brat 10 cm pentru montaj doza,29.99,28.0
10X222-413,"Set conector 3 poli pentru doza 0,08 - 2,5mm fir litat 10 bucati",29.99,25.99
KPO3710-1.5,Cablu SVGA tata-tata 1.5 m KPO3710-1.5,29.99,25.0
CC-PPVGA-10-B(3M),"Cablu VGA negru 3 metri, cu izolatie dubla si ferita premium, CC-PPVGA-10-B(3M)",29.99,27.0
CC-DP-HDMI-3M,Cablu Monitor DisplayPort la HDMI 3 metri CC-DP-HDMI-3M,29.99,29.0
RB-838,Multimetru digital universal polarizare automata REBEL RB-838,30.99,29.0
URZ3070-3B,"Prelungitor cu 3 cai, cablu 3 x 1.5 mm, lungime 3 m",31.99,30.0
PFA139,"Doza de conexiuni rotunda, aluminiu, DAHUA PFA139",32.99,27.0
PFM320-EN-S,"Alimentator 12V 2A Dahua, PFM320-EN-S",32.99,27.0
MUFAFx50,Pachet 50 x Mufa F,32.99,24.99
MUFAFx50,Pachet 50 x Mufa F,32.99,24.99
PFA136,"Doza de conexiuni rotunda, aluminiu, PFA136",32.99,27.0
PFM791,Izolator de bucla Dahua PFM791,32.99,27.0
PFA137,"Doza de conexiuni rotunda, aluminiu, compatibila cu camerele dome Dahua, Dahua PFA137",32.99,27.0
PFA102,Adaptor montaj pentru camere SPEED DOME DAHUA PFA102,32.99,27.0
PFM300,"Alimentator de exterior 12V- 2A Dahua, PFM300",32.99,27.0
UT12D-EU,Detector de tensiune (1000V) fara atingere cu lanterna incorporata UNI-T UT12D-EU,33.99,31.5
EDL2468,"Cleste de sertizare Ethernet Crimper, 4-6-8P, RJ45 / RJ14 / RJ12 / RJ9, EDL2468 Deli",34.99,32.0
UTPPOW20M,"Cablu UTP + Alimentare gata mufat 20 metri, UTPPOW20M",34.99,29.0
HDMI-ETHERNET-10M,Cablu HDMI 1.4 cu ethernet 10m HDMI-ETHERNET-10M,34.99,30.0
SPAR-TYPECQ-01,"Incarcator retea Quick Charge SPACER, 20W, 1x port USB Type-C PD, SPAR-TYPECQ-01",34.99,32.0
CUTIE180X270X100,Cutie plastic cu presetupe CUTIE180X270X100,36.99,35.0
JB311+ST10,Doza dedicata CCTV cu suport 10 cm montaj aplicat JB311+ST10 Cambox,37.99,35.99
1115669,"Sina perforata cu profil omega 1115669, 2000mm, otel zincat galvanic",37.99,36.0
DS-1280ZJ-DM8,"Cutie de distributie pentru camere de supraveghere, Hikvision DS-1280ZJ-DM8",38.99,28.22
PS-3X2S,Prelungitor 3 X 1.5MM 3 prize 2M intrerupator PS-3X2S,38.99,37.0
PFM320D-EN,"Alimentator 12V2A Dahua, PFM320D-EN",38.99,33.0
PFM320D-015,"Sursa de alimentare in comutatie, 1.5 A, 12 V, Dahua, PFM320D-015",38.99,33.0
CASLED20W,Proiector 20W LED IP65 SLIM CASLED20W,38.99,36.0
28486,"Patent dezizolator cu maner de cauciuc, pentru fire cu grosimea intre 0.5 si 5 mm, Proline 28486",39.99,38.0
