Product,Original Price,Discounted Price
"Patchcord Single Mode 1M SC/UPC-SC/UPC, PC-SC/SC-1",9.99,9.44
Doza de exterior dedicata CCTV 118x118x55 Cambox Lotus(Black),9.99,8.4
"Set 10 mufe alimentare, Mama cu surub, MUFA DCF",9.99,7.99
"Set 100buc bride negre 3,5mm x 300mm",10.99,10.5
"Patchcord S/FTP Cat 6A, 3 Metri, Galben, SFTP6A-3M-Y, SAFER",10.99,8.3
"Fasete de prindere, plastic, 4.5 mm x 150 mm, negre, 100 bucati, V-TAC, SKU-11172",10.99,9.0
"Cablu HDMI 1.4 19p cu transmisie Internet si video 4K, lungime 1.5m, HDMI-ETHERNET-1.5M",10.99,8.0
"Patchcord S/FTP Cat 6A, 3 Metri, Rosu , SFTP6A-3M-R, SAFER",10.99,8.3
"Patchcord S/FTP Cat 6A, 3 Metri, Gri , SFTP6A-3M, SAFER",10.99,8.3
"Patchcord S/FTP Cat 6A, 3 Metri, Verde, Safer SFTP6A-3M-G",10.99,8.3
"Doza cu presetupe si suruburi 110X110X74, CUTIE110X110X74",10.99,9.9
"Set videobalun 4K - 8MP/5MP AHD/CVI/TVI, SAF-KITBALUN4K",11.99,10.0
"Cablu HDMI 1.4 19p ecranat, 1.5m, HDMI-ECRANAT-1.5M",11.99,9.5
"Cutie de jonctiune pentru camere de supraveghere, Dahua, PFA12A",11.99,9.0
Surubelnita dreapta 8x200mm cap magnetic,11.99,10.9
"Tester de tensiune, 12-250V, 127 mm, EDL8003 Deli",11.99,11.0
"Adaptor alimentare DVR/NVR Hikvision, DCF-DIN4",12.99,11.0
"Alimentator de exterior 12V 2A pentru camere de supraveghere, Safer SAF-ZH-01",12.99,9.3
"Set videobaloon 4K, Dahua, PFM800B-4K",12.99,11.0
"Set Videobalun Pasiv, 2 / 4 / 5 MP / 4K, HD-TVI, CVI, AHD, CVBS, cu PoC, Hikvision DS-1H18S/E(C)",12.99,9.4
"Fasete de prindere, plastic, 3.5 mm x 250 mm, negre, 100 bucati, V-TAC, SKU-11169",12.99,10.0
"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.99,12.37
"Baterie alcalina, 9V, VARTA BLISTER, VAR-4922",13.99,12.0
Patchcord retea CAT5 1M Verde SP-PT-CAT5-1M-G,14.99,12.0
"Set Videobaluni 4K Safer, CVI / TVI / AHD / CVBS, pentru cablu CAT 5 / 5E / 6, pana la 400m, SAF-KITBALUN4K-3P",14.99,10.0
Ruleta metalica 5 metri - 25mm,14.99,12.5
"Cablu camere supraveghere BNC + 1 Alimentare 20 m, 2BNC20",14.99,14.28
"Ruleta Rebel, lungime 5m, latime 25mm, RB-1131",14.99,14.0
"Set 10 bucati conector, 3 fire, 0.08 mm² la 2.5 mm², W-413",15.99,15.0
"Banda perforata din otel galvanizat 10 metri, anti-rugina, 12x0.7mm, orificiu de 5mm, 01-671 Adeleq",15.99,15.0
"Protectie supratensiune F TATA F MAMA, ZLA0964",16.80,15.5
"Patchcord S/FTP Cat 6A, 5 Metri, Albastru , SFTP6A-5M-B, SAFER",16.99,12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Negru , SFTP6A-5M-BL, SAFER",16.99,12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Rosu , SFTP6A-5M-R, SAFER",16.99,12.39
"Patchcord S/FTP Cat 6A, 5 Metri, Galben , SFTP6A-5M-Y, SAFER",16.99,12.39
"Fasete de prindere, plastic, 4.5 mm x 300 mm, negre, 100 bucati, V-TAC, SKU-11174",16.99,15.0
"Patchcord S/FTP Cat 6A, 5 Metri, Gri , SFTP6A-5M, SAFER",16.99,12.39
"Baterie Lithium Blister 1 BUC, Philips, PH-CR123A/01B",16.99,16.8
Set 10 Buc - BNC Tata + F Mama,16.99,14.99
"Patchcord S/FTP Cat 6A, 5 Metri, Verde , SFTP6A-5M-G, SAFER",16.99,12.39
"Conector ceramic, 16mm2, 450V, 76A, 2 pini, SIMET SI-CPO-30A-2P",17.99,17.0
"Detector tensiune 90-1000V AC, 2x baterii AAA, Rebel MIE-RB-02",17.99,17.0
"Cutie plastic cu presetupe, CUTIE180X110X75",17.99,17.0
"Incarcator USB 5V 2A, Pentru camere de supraveghere s.a. Gembird EG-UC2A-03-W",17.99,16.5
Patchcord Single Mode 3M SC/APC-SC/APC,17.99,17.3
Card de memorie pentru stocare video Micro SD 32GB Clasa 10 Dahua TF-C100/32GB,18.99,16.0
"CARD MicroSD ADATA 32 GB, MicroSDHC clasa 10 AUSDH32GUICL10-RA1",18.99,16.0
"Memorie USB 2.0 ADATA, 32 GB - AUV240-32G-RBK",18.99,17.0
"Card MicroSD, 32GB, Clasa 10, citire 95 Mbps, scriere 25 Mbps, IMOU, MICROSD32-IMOU",18.99,18.0
"Sistem de prindere pentru montare DVR/NVR in RACK-urile de tip 19"", Hikvision DS-380/385",18.99,17.0
"Cablu video, monitor display port (T) la display port (T), rezolutie 4K, lungime 1.8m, CC-DP2-6",19.99,18.8
"Prelungitor 3 prize, 1.5m, alb, Kemot, URZ3070-1.5",19.99,17.85
Cleste combinat 200mm Deli EDL2008,19.99,17.9
"Set conector 2 poli pentru doza 0,08 - 2,5mm fir litat 10 bucati",19.99,19.99
"Cablu HDMI 1.4 19p ecranat, 5m, HDMI-ETHERNET-5M",19.99,16.0
Cleste patent cioc lung 200mm Deli EDL2108,19.99,17.9
Cleste patent oblic 180mm Deli EDL2207,19.99,17.9
"Cablu de alimentare AK-PC-02A, 250V, 10A, 1.5m, negru, cu impamantare",19.99,18.0
"Alimentator de exterior, 2.5 A, capsulat, pentru supraveghere video, PA2W",19.99,18.0
"Set tuburi termocontractabile, 100 de bucati, lungime 100mm, multicolor, NAR0876",19.99,18.0
Cablu adaptor C14 tata - Schuko mama pentru UPS,19.99,18.0
"Cablu HDMI 1.4 ,19p ecranat, 5 m, HDMI-ECRANAT-5M",19.99,19.0
Multimetru Digital universal REBEL MIE-RB-830,19.99,19.0
"Tub de capat, 6mm²/AWG 9, izolatie de poliamida 6.6, galben, TUL-6/12",19.99,19.5
"Alimentator de exterior 12V 10W pentru camere de supraveghere, Safer SAF-10LW",19.99,17.45
Patchcord 1M SC-FC simplex singlemode L3213,19.99,17.85
"Card de memorie pentru stocare video Micro SD 64GB Clasa 10 Dahua, TF-C100/64GB",19.99,19.0
Yala pt usile laterale de rack,19.99,16.0
Distribuitor alimentare CCTV 8 canale 4A LZ-1,19.99,18.0
"Card MicroSD, 64GB, Clasa 10, citire 95 Mbps, scriere 38 Mbps, IMOU, MICROSD64-IMOU",19.99,17.0
"Cablu adaptor VGA, 15pini tata, 2 x 15 pini mama, KPO3869",21.25,20.5
"SD Card 32GB card memorie Kingston Clasa 10, SDCS/32GB",21.99,19.0
"Memorie USB 64Gb, 2.0 ADATA, Stick USB - AUV240-64G-RBK",21.99,20.0
Patchcord retea CAT6 5M Negru PP6U-5M/BK,21.99,17.0
Microfon pentru camere de supraveghere BOX UV-M501G,22.99,20.16
"Alimentator 12V1A Dahua, PFM321D-EN",22.99,19.0
"Banda perforata din otel galvanizat 10m, 17x0.8mm, orificiu de 6mm, Adeleq 01-672",22.99,21.0
Set mufa RJ45 UTP/ FTP cu 8 pini 100 bucati,22.99,19.99
"Patchcord S/FTP Cat 6A, 10 Metri, Gri , SFTP6A-10M, SAFER",23.99,21.0
Pachet 50 x Mufa alimentare TATA cu surub,23.99,22.99
"Patchcord S/FTP Cat 6A, 10 Metri, Rosu , SFTP6A-10M-R, SAFER",23.99,21.0
"Patchcord S/FTP Cat 6A, 10 Metri, Galben, SFTP6A-10M-Y",23.99,21.0
"Patchcord S/FTP Cat 6A, 10 Metri, Verde , SFTP6A-10M-G, SAFER",23.99,21.0
Alimentator 12V-2Ah pentru exterior watherproof IP66,23.99,23.0
"Patchcord fibra SC-SC Duplex Single Mode Ultimode PC-511D, lungime 3m, L34113",24.99,23.0
"Triplu Stecher, 3500W, 16A, protectie copii, 3 prize Schuko, 1 stecher Schuko, Spacer, SPMS-3-WH",24.99,18.0
"Alimentator de exterior 12V 1.25A pentru camere de supraveghere, Safer SAF-15LW",24.99,20.94
Multimetru universal REBEL MIE-RB-830BUZ,24.99,23.0
"Cleste pentru sertizare cabluri de retea in prize, de tip KRONE, CSKP",24.99,22.0
"Doza pentru conexiuni din aluminiu, 63x63 mm, pentru camere bullet cu diametru de 88.5 mm, Safer SAF-1260ZJ",24.99,21.0
Patchcord 3M SC-LC simplex singlemode L32153,24.99,23.0
Patchcord 3M SC-SC simplex singlemode,24.99,23.0
"Set videobalun 4K Dahua, PFM800-4K",24.99,21.0
Ruleta metalica 10 metri - 25mm,24.99,23.0
"Cablu UTP + Alimentare gata mufat 10 metri, UTPPOW10M",24.99,19.0
"Modul de tip Keystone cu port Rj-45 CAT 5E Ecranat, pentru cabluri AWG 24 si AWG22, Sertizabil, Schrack HSEMRJ5GWS",24.99,23.0
"Alimentator USB 5V 2.1A cu 2 porturi si functie Smart Charge, pentru camere video, Smartphone s.a. EG-U2C2A-03-W",24.99,24.0
Patent combinat 200mm manere ergonomice din PVC,25.99,23.1
"Doza rotunda pentru conexiuni, rezistenta la apa IP66, aluminu, Safer, SAF-PFA135",25.99,23.21
"CARD MicroSD ADATA 64GB Clasa 10, AUSDX64GUICL10-RA1",25.99,24.0
"Adaptor montaj Dahua, PFA103",25.99,22.0
"Set 100 buc conectori RJ45 CAT5e, Dahua, DH-PFM976-531",25.99,22.0
"Detector de tensiune in perete, fara contact, 50-1000V, Rebel MIE-RB-03",25.99,25.0
Cleste universal pentru dezizolare si sertizare fire cuprinse intre 0.75-6.0 28428,26.99,24.0
Trusa surubelnite 32 de piese,26.99,25.0
Cablu UTP + Alimentare gata mufat 15 metri UTPPOW15M,26.99,25.5
"SD Card 64GB card memorie Kingston Clasa 10, SDCS2/64GB, potrivit pentru supraveghere video",26.99,26.0
