SKU,Name,Price,Discount,Price Difference
86BDL3652T/00,"Monitor interactiv 4K IPS, diagonala 86"" (218.44cm), 2 difuzoare, HDMI, USB, RJ45, RS232, Philips 86BDL3652T/00",15587.99,14714.0,873.9899999999998
KITAJAX3-EZ-C3WN,Kit sistem de alarma IP / GSM wireless Ajax 3 zone KITAJAX3 + camera wireless IMOU si card microSD IMOU,2346.99,1498.99,847.9999999999998
KITAJAX3,Kit sistem de alarma IP / GSM wireless Ajax 3 zone KITAJAX3,2149.99,1312.99,836.9999999999998
KA5102.002,"Kit accesorii feronerie pentru poarta culisanta telescopica 3X2 metri, 200kg/semifoaie, Deschidere 6m, FAC KA5102.002",8999.99,8180.0,819.9899999999998
DS-7716NI-I4/16P,"Nvr 16 canale, 16x PoE, 4HDD, 12 Megapixeli, 160Mbps, DS-7716NI-I4/16P",3389.99,2575.56,814.4299999999998
SAF-4X2MPLED-POE-1TB,"Kit de supraveghere Safer, 4 camere, 4MP, NVR 4 canale, HDD 1TB, SAF-4X2MPLED-POE-1TB",1934.99,1123.99,811.0
KIT10KW-3FAZE-HUAWEI455,"Sistem fotovoltaic hibrid 10KW, trifazat, montaj pe acoperis din tigla, KIT10KW-3FAZE-HUAWEI455",27585.71,26774.75,810.9599999999991
KITIP-4X-4MP2830POEHDD,"Kit de supraveghere IP, 4 camere exterior 4MP, 2.8mm, IR 30 metri si NVR 4 canale, HDD, KITIP-4X-4MP2830POEHDD",1915.99,1112.99,803.0
iDS-7216HUHI-M2-P(C),"DVR 16 canale 8 MP, AcuSense, 128 Mbps, PoC, 2 x SATA, 2 x USB, Audio prin coaxial, Hikvision iDS-7216HUHI-M2-P(C)",2774.99,1974.0,800.9899999999998
KITIP4EXT2K,"Sistem supraveghere IP cu 4 camere 2K, smart IR 30m, NVR, KITIP4EXT2K",1678.99,880.99,798.0
KITIP-4X-4MP2830POE,"Kit de supraveghere IP, 4 camere exterior 4MP, 2.8mm, IR 30 metri si NVR 4 canale, KITIP-4X-4MP2830POE",1678.99,887.99,791.0
ITC413-PW4D-IZ1,"Camera de supraveghere ANPR, Motorizata, 4MP - 2K, IR 30m, Microfon si Difuzor, PoE, IK10, IP67, Dahua ITC413-PW4D-IZ1",2899.99,2118.0,781.9899999999998
DS-2DE7A232IW-AEB(T5),"Speed Dome IP AcuSense DarkFighter, Full HD, 32X, IR 200m, Alarma audio si stroboscopica, Hi-PoE, MicroSD, Hikvision DS-2DE7A232IW-AEB(T5)",3191.99,2425.12,766.8699999999999
iDS-7216HUHI-M2-S(E)(4A+16/4),"DVR AcuSense, 16 canale, 5MP, 1U, Latime de banda 128Mbps, Detectare miscare, 2x SATA, Hikvision iDS-7216HUHI-M2-S(E)(4A+16/4)",2219.99,1455.0,764.9899999999998
KITIP-4X-2MP2860POE,"Kit de supraveghere IP, 4 camere exterior 2MP, 2.8mm, IR 80 metri si NVR 4 canale, KITIP-4X-2MP2860POE",1957.99,1194.99,763.0
LH75WMBWLGCXEN.SLEDU,"Monitor interactiv 4K UHD Samsung Flip Pro, diagonala 75"" (190.5cm), cu Touch, LH75WMBWLGCXEN.SLEDU",15979.99,15218.99,761.0
KIT10KW-3FAZE-GR-455,"Sistem de alimentare cu energie solara, 10KW, Trifazat, On-Grid, KIT10KW-3FAZE-GR-455",25779.58,25024.21,755.3700000000026
DS-7632NI-I2/16P,"NVR 32 canale 4K 16 x PoE, 2 x HDD, Hikvision DS-7632NI-I2/16P",3136.99,2388.0,748.9899999999998
KITAXPRO64+5SZR+SIR,"Kit sistem de alarma Tri-X Wireless AX PRO, GSM, 16 zone, 32 de utilizatori, 6 senzori, o sirena de exterior, KITAXPRO64+5SZR+SIR Hikvision",2667.99,1937.99,729.9999999999998
TPC-SD2221-B7F8,Speed dome cu termoviziune hybrida 1080P Dahua TPC-SD2221-B7F8,5023.99,4300.0,723.9899999999998
GWJ3002A,"Statie incarcare masini electrice, WB I-CON, Autostart, 7.4 kW, Priza Type 2, IK10, Gewiss, GWJ3002A",4027.49,3318.0,709.4899999999998
DS-9632NI-M16,"NVR 32 de canale, 32MP, Latime de banda 320 Mbps, 16x SATA, 1x eSATA, RAID, Hikvision DS-9632NI-M16",7767.99,7061.0,706.9899999999998
KITAJAX2-EZ-C1T,Kit sistem de alarma IP / GSM wireless Ajax 2 zone KITAJAX + camera IMOU si card MicroSD IMOU,1950.99,1247.99,703.0
KIT5KW-MONO-HUAWEI380,"Sistem de alimentare cu energie solara, 5KW, Monofazat, Hibrid, KIT5KW-MONO-HUAWEI380",14324.77,13622.81,701.960000000001
SUPRA_MB_MAX,Bariera acces 6 metri trafic intens LIFE SUPRA MB MAX SUPRA_MB_MAX,5999.99,5299.0,700.9899999999998
KITAJAX2,Kit sistem de alarma IP / GSM wireless Ajax 2 zone KITAJAX2,1797.99,1098.99,699.0
DS-7732NI-K4/16P,"NVR 32 canale, 8 MP, 16 PoE, 4 X HDD, Hikvision DS-7732NI-K4/16P",2900.99,2203.64,697.3499999999999
DS-7732NXI-K4/16P,"NVR Hikvision AcuSense, 32 canale, 12MP, 16x PoE, 4x porturi SATA, Alarma 16/4, 256 Mbps, DS-7732NXI-K4/16P",2899.99,2203.75,696.2399999999998
KIT6KW-MONO-HUAWEI380,"Sistem de alimentare cu energie solara, 6KW, Monofazat, Hibrid, KIT6KW-MONO-HUAWEI380",17047.59,16356.53,691.0599999999995
DS-7632NXI-K2/16P,"NVR 32 canale, Hikvision DS-7632NXI-K2/16P, AcuSense, 4K, 1U, Latime de banda 256 Mbps, 16x porturi PoE, 2x porturi SATA",2185.99,1495.0,690.9899999999998
DY-XL2500X2,Automatizare poarta culisanta industriala 2500KG King Gates DYNAMOS 2500 XL,3749.99,3059.99,690.0
AJAX MOTIONCAMERA OUTDOOR,"Detector de miscare PIR cu camera, wireless, anti-masking, imunitate animale, 868 MHz, alb, AJAX MOTIONCAMERA OUTDOOR",1770.03,1082.96,687.0699999999999
KITVHIKIP-BL,Set videointerfon Hikvision TCP/IP cu monitor 7 inch wireless KITVHIKIP-BL,1610.99,923.99,687.0
DS-K3G411LX-R-Dm55,"Turnichet tripod bidirectional, brate metalice, Hikvision, DS-K3G411LX-R-Dm55",4585.99,3900.0,685.9899999999998
DS-7732NXI-I4S(C),"NVR 32 canale, 12 MP, 160 Mbps bandwidth, compresie video H.265+, AcuSense, Hikvision, DS-7732NXI-I4S(C)",2838.99,2156.0,682.9899999999998
DS-7732NI-I4(B),"NVR 32 canale, 12 MP, 256 Mbps bandwidth, compresie video H.265+, 4x SATA pentru HDD, Hikvision DS-7732NI-I4(B)",3010.99,2332.0,678.9899999999998
DS-2DE7A425IW-AEB5,"Camera Speed Dome IP 4MP 2K, DarkFighter Hikvision DS-2DE5425IW-AE(S6), Zoom Optic 25X, IR 150M, 24V, Poe DS-2DE7A425IW-AEB5",2803.99,2130.59,673.3999999999996
KITAXPRO64+4SZR+SIR,"Kit sistem de alarma Tri-X Wireless AX Pro, GSM, 32 de utilizatori, 16 zone, 5 senzori, o sirena de exterior, KITAXPRO64+4SZR+SIR Hikvision",2440.99,1774.99,665.9999999999998
SD49225XA-HNR,Speed Dome IP 2MP 25X IR100m Starlight AI Dahua Wizsense SD49225XA-HNR,2143.99,1479.0,664.9899999999998
SV3.6KW-1F-HIB-C,"Sistem fotovoltaic 3.6KW, Hibrid - ON-Grid si OFF-Grid, monofazat, montaj pe tigla ceramica SV3.6KW-1F-HIB-C",13970.52,13308.89,661.630000000001
IDS-7332HUHI-M4/S,"DVR Hikvision 32 de canale, AcuSense, 8MP, 1.5U, 4x porturi SATA, Alarma 16/4, IDS-7332HUHI-M4/S",5053.99,4395.0,658.9899999999998
GKCR220LLB920,"KIT Automatizare cu brat articulat pentru porti batante pana la 2x250kg, Comunello Condor 220, motoare pe 24V, GKCR220LLB920",2299.99,1648.0,651.9899999999998
ASI7213Y-V3-T1,Controller acces facial cu detectie temperatura umana sau febra de la Dahua ASI7213Y-V3-T1,2090.0,1440.76,649.24
KIT4KW-TRIFAZ-HUAWEI380,"Sistem de alimentare cu energie solara, 4KW, Trifazat, Hibrid, Montaj pe acoperis de tigla KIT4KW-TRIFAZ-HUAWEI380",13349.22,12707.21,642.0100000000002
DS-7716NI-I4(B),"NVR 16 canale, pana la 32 MP 8K, 160Mbps, 4xSATA, Hikvision DS-7716NI-I4(B)",2633.99,2001.24,632.7499999999998
DS-7316HUHI-K4,"DVR 16 canale Turbo HD, rezolutie 8 MP, 4 X SATA, 3 x USB, Hikvision DS-7316HUHI-K4",3328.99,2699.0,629.9899999999998
PFM907-E,"Tester CCTV IP pentru camera de supraveghere, Dahua PFM907-E",4164.99,3543.0,621.9899999999998
ASI6213J-FT1,"Control acces cu recunoastere faciala, camera de 2MP, ecran LCD, 6000 utilizatori, monitorizare temperatura, Dahua ASI6213J-FT1",3210.99,2595.0,615.9899999999998
DS-PWA96-KIT-WE,"Sistem de alarma Tri-X wireless HIKVISION AX PRO GSM/GPRS, LAN, 3G/4G, 32 Partitii, 96 zone AX-PRO DS-PWA96-KIT-WE",1686.99,1071.19,615.8
KIT4EXT30IRHIK,"Kit supraveghere video, IP, NVR cu 4 camere tip bullet, smart IR 30m, Hikvision KIT4EXT30IRHIK",1477.99,865.99,612.0
DS-7716NI-K4,"NVR 16 canale 8 MP, 160 MBps, 4 x HDD, Hikvision DS-7716NI-K4",1671.99,1062.0,609.99
SD5A232XA-HNR,"Camera IP Speed Dome Dahua, 2 MP, IR 150m, lentila varifocala 4.9-156 mm, Starlight, slot card, SD5A232XA-HNR",3349.99,2745.0,604.9899999999998
